code,date,time,price,quantity,direction,profit_loss,current_cash,currentCommission,currentMargin,contract_type
IC2002,20200101,14:00:00,5361.4,1,1,1072280.0,8927695.33756,24.66244,128673.59999999999,sub
IC2002,20200120,14:00:00,5568.6,1,2,-1113720.0,10041389.722,25.61556,-133646.4,sub
IC2003,20200120,14:00:00,5548.8,1,1,1109760.0,8931604.197519999,25.52448,133171.19999999998,sub
IC2003,20200224,14:00:00,5829.0,1,2,-1165800.0,10097377.384119999,26.8134,-139896.0,sub
IC2004,20200224,14:00:00,5795.4,1,1,1159080.0,8938270.725279998,26.65884,139089.6,sub
IC2004,20200323,14:00:00,4990.0,1,2,-998000.0,9936247.771279998,22.954,-119760.0,sub
IC2005,20200323,14:00:00,4937.2,1,1,987440.0,8948785.060159998,22.71112,118492.79999999999,sub
IC2005,20200420,14:00:00,5296.6,1,2,-1059320.0,10008080.695799999,24.36436,-127118.4,sub
IC2006,20200420,14:00:00,5218.8,1,1,1043760.0,8964296.689319998,24.00648,125251.2,sub
IC2006,20200518,14:00:00,5438.8,1,2,-1087760.0,10052031.670839999,25.01848,-130531.2,sub
IC2007,20200518,14:00:00,5366.4,1,1,1073280.0,8978726.985399999,24.68544,128793.59999999999,sub
IC2007,20200622,14:00:00,5720.8,1,2,-1144160.0,10122860.669719998,26.31568,-137299.19999999998,sub
IC2008,20200622,14:00:00,5660.2,1,1,1132040.0,8990794.632799998,26.03692,135844.8,sub
IC2008,20200720,14:00:00,6397.8,1,2,-1279560.0,10270325.202919997,29.42988,-153547.19999999998,sub
IC2009,20200720,14:00:00,6337.8,1,1,1267560.0,9002736.049039997,29.15388,152107.19999999998,sub
IC2009,20200824,14:00:00,6581.0,1,2,-1316200.0,10318905.776439996,30.2726,-157944.0,sub
IC2010,20200824,14:00:00,6499.0,1,1,1299800.0,9019075.881039996,29.8954,155976.0,sub
IC2010,20200921,14:00:00,6363.8,1,2,-1272760.0,10291806.607559996,29.27348,-152731.19999999998,sub
IC2011,20200921,14:00:00,6280.4,1,1,1256080.0,9035697.717719996,28.88984,150729.6,sub
IC2011,20201019,14:00:00,6273.8,1,2,-1254760.0,10290428.858239997,28.85948,-150571.19999999998,sub
IC2012,20201019,14:00:00,6205.4,1,1,1241080.0,9049320.313399997,28.54484,148929.6,sub
IC2012,20201123,14:00:00,6480.0,1,2,-1296000.0,10345290.505399996,29.808,-155520.0,sub
IC2101,20201123,14:00:00,6426.8,1,1,1285360.0,9059900.942119997,29.56328,154243.19999999998,sub
