code,date,time,price,quantity,direction,profit_loss,current_cash,currentCommission,currentMargin,contract_type
IC2001,20200101,14:00:00,5376.3,1,1,1075260.0,8924715.26902,24.73098,129031.2,main
IC2001,20200113,14:00:00,5532.3,1,2,-1106460.0,10031149.82044,25.44858,-132775.19999999998,main
IC2002,20200113,14:00:00,5561.6,1,1,1112320.0,8918804.23708,25.58336,133478.4,main
IC2002,20200217,14:00:00,5561.0,1,2,-1112200.0,10030978.65648,25.5806,-133464.0,main
IC2003,20200217,14:00:00,5227.9,1,1,1045579.9999999999,8985374.60814,24.048339999999996,125469.59999999998,main
IC2003,20200316,14:00:00,5227.4,1,2,-1045479.9999999999,10030830.562099999,24.046039999999998,-125457.59999999998,main
IC2004,20200316,14:00:00,5141.9,1,1,1028379.9999999999,9002426.909359999,23.652739999999998,123405.59999999998,main
IC2004,20200413,14:00:00,5141.5,1,2,-1028300.0,10030703.258459998,23.6509,-123396.0,main
IC2005,20200413,14:00:00,5462.3,1,1,1092460.0,8938218.131879998,25.12658,131095.19999999998,main
IC2005,20200511,14:00:00,5461.8,1,2,-1092360.0,10030553.007599998,25.12428,-131083.19999999998,main
IC2006,20200511,14:00:00,5567.7,1,1,1113540.0,8916987.396179998,25.61142,133624.8,main
IC2006,20200615,14:00:00,5566.8,1,2,-1113360.0,10030321.7889,25.60728,-133603.19999999998,main
IC2007,20200615,14:00:00,6891.2,1,1,1378240.0,8652050.08938,31.69952,165388.8,main
IC2007,20200713,14:00:00,6890.3,1,2,-1378060.0,10030078.394,31.69538,-165367.19999999998,main
IC2008,20200713,14:00:00,6713.3,1,1,1342660.0,8687387.51282,30.88118,161119.19999999998,main
IC2008,20200817,14:00:00,6712.4,1,2,-1342480.0,10029836.63578,30.87704,-161097.6,main
IC2009,20200817,14:00:00,6277.3,1,1,1255460.0,8774347.7602,28.87558,150655.19999999998,main
IC2009,20200914,14:00:00,6276.4,1,2,-1255280.0,10029598.88876,28.87144,-150633.6,main
IC2010,20200914,14:00:00,6518.7,1,1,1303740.0,8725828.90274,29.98602,156448.8,main
IC2010,20201012,14:00:00,6517.8,1,2,-1303560.0,10029358.92086,29.98188,-156427.19999999998,main
IC2011,20201012,14:00:00,6357.0,1,1,1271400.0,8757929.67866,29.2422,152568.0,main
IC2011,20201116,14:00:00,6355.5,1,2,-1271100.0,10029000.443359999,29.2353,-152532.0,main
IC2012,20201116,14:00:00,6216.7,1,1,1243340.0,8785631.846539998,28.59682,149200.8,main
IC2012,20201214,14:00:00,6215.8,1,2,-1243160.0,10028763.253859999,28.59268,-149179.19999999998,main
IC2101,20201214,14:00:00,6448.1,1,1,1289620.0,8739113.5926,29.66126,154754.4,main
IC2101,20210111,14:00:00,6446.2,1,2,-1289240.0,10028323.940079998,29.65252,-154708.8,main
IC2102,20210111,14:00:00,6598.3,1,1,1319660.0,8708633.587899998,30.35218,158359.19999999998,main
IC2102,20210218,14:00:00,6596.9,1,2,-1319380.0,10027983.242159998,30.34574,-158325.6,main
IC2103,20210218,14:00:00,6136.6,1,1,1227320.0,8800635.013799999,28.22836,147278.4,main
IC2103,20210315,14:00:00,6135.8,1,2,-1227160.0,10027766.78912,28.22468,-147259.19999999998,main
IC2104,20210315,14:00:00,6228.6,1,1,1245720.0,8782018.13756,28.65156,149486.4,main
IC2104,20210412,14:00:00,6227.4,1,2,-1245480.0,10027469.49152,28.64604,-149457.6,main
IC2105,20210412,14:00:00,6565.6,1,1,1313120.0,8714319.289760001,30.20176,157574.4,main
IC2105,20210517,14:00:00,6564.5,1,2,-1312900.0,10027189.093060002,30.1967,-157548.0,main
IC2106,20210517,14:00:00,6666.6,1,1,1333320.0,8693838.426700002,30.66636,159998.4,main
IC2106,20210615,14:00:00,6665.3,1,2,-1333060.0,10026867.766320001,30.66038,-159967.19999999998,main
IC2107,20210615,14:00:00,6870.6,1,1,1374120.0,8652716.16156,31.60476,164894.4,main
IC2107,20210712,14:00:00,6869.6,1,2,-1373920.0,10026604.5614,31.60016,-164870.4,main
IC2108,20210712,14:00:00,7041.6,1,1,1408320.0,8618252.17004,32.39136,168998.4,main
IC2108,20210816,14:00:00,7041.0,1,2,-1408200.0,10026419.781440001,32.3886,-168984.0,main
IC2109,20210816,14:00:00,7603.4,1,1,1520680.0,8505704.8058,34.97564,182481.6,main
IC2109,20210913,14:00:00,7602.4,1,2,-1520480.0,10026149.83476,34.97104,-182457.6,main
IC2110,20210913,14:00:00,7082.1,1,1,1416420.0,8609697.257100001,32.57766,169970.4,main
IC2110,20211011,14:00:00,7081.2,1,2,-1416240.0,10025904.68358,32.57352,-169948.8,main
IC2111,20211011,14:00:00,7100.9,1,1,1420180.0,8605692.019439999,32.66414,170421.6,main
IC2111,20211115,14:00:00,7100.2,1,2,-1420040.0,10025699.35852,32.66092,-170404.8,main
IC2112,20211115,14:00:00,7357.3,1,1,1471460.0,8554205.51494,33.84358,176575.19999999998,main
IC2112,20211213,14:00:00,7356.7,1,2,-1471340.0,10025511.67412,33.84082,-176560.8,main
IC2201,20211213,14:00:00,7180.5,1,1,1436100.0,8589378.643819999,33.0303,172332.0,main
