stock_code,judge_grid_start,judge_grid_end,is_grid,test_start_date,test_end_date,best_grid_n,min_price,max_price,grid_list,test_ret,target_position_dict
000537.SZ,2022_08_05,2023_08_15,0,2022_05_16,2023_09_01,21,10.95,16.41,"[11.38, 11.54, 11.69, 11.84, 12.0, 12.15, 12.3, 12.46, 12.61, 12.77, 12.92, 13.08, 13.23, 13.39, 13.54, 13.7, 13.85, 14.0, 14.16, 14.31, 14.46, 14.61]",0.3948,None
000563.SZ,2022_08_05,2023_08_15,1,2021_06_22,2024_05_10,28,2.78,3.51,"[2.94, 2.95, 2.97, 2.98, 3.0, 3.01, 3.03, 3.04, 3.06, 3.07, 3.09, 3.1, 3.12, 3.13, 3.15, 3.17, 3.18, 3.2, 3.21, 3.23, 3.24, 3.26, 3.27, 3.29, 3.3, 3.32, 3.33, 3.35, 3.36]",0.3963,"{2.94: 13200, 2.95: 12800, 2.97: 12400, 2.98: 12000, 3.0: 11600, 3.01: 11100, 3.03: 10600, 3.04: 10100, 3.06: 9600, 3.07: 9100, 3.09: 8600, 3.1: 8100, 3.12: 7600, 3.13: 7100, 3.15: 6600, 3.17: 6100, 3.18: 5600, 3.2: 5100, 3.21: 4600, 3.23: 4100, 3.24: 3600, 3.26: 3100, 3.27: 2600, 3.29: 2100, 3.3: 1600, 3.32: 1200, 3.33: 800, 3.35: 400, 3.36: 0}"
000726.SZ,2023_06_26,2024_01_05,0,2023_10_23,2024_05_10,17,5.6,6.84,"[6.1, 6.14, 6.18, 6.22, 6.25, 6.29, 6.33, 6.37, 6.41, 6.45, 6.49, 6.53, 6.57, 6.61, 6.64, 6.68, 6.72, 6.76]",0.1728,"{6.1: 6100, 6.14: 5800, 6.18: 5500, 6.22: 5200, 6.25: 4800, 6.29: 4400, 6.33: 4000, 6.37: 3600, 6.41: 3200, 6.45: 2800, 6.49: 2400, 6.53: 2000, 6.57: 1600, 6.61: 1200, 6.64: 900, 6.68: 600, 6.72: 300, 6.76: 0}"
000958.SZ,2022_08_05,2023_08_15,0,2022_05_29,2023_05_05,49,3.94,5.3,"[4.16, 4.18, 4.2, 4.22, 4.23, 4.25, 4.27, 4.29, 4.3, 4.32, 4.34, 4.35, 4.37, 4.39, 4.41, 4.42, 4.44, 4.46, 4.48, 4.49, 4.51, 4.53, 4.55, 4.56, 4.58, 4.6, 4.62, 4.63, 4.65, 4.67, 4.69, 4.7, 4.72, 4.74, 4.76, 4.77, 4.79, 4.81, 4.83, 4.84, 4.86, 4.88, 4.89, 4.91, 4.93, 4.95, 4.96, 4.98, 5.0, 5.01]",0.3459,None
001289.SZ,2022_08_05,2023_08_15,1,2022_10_11,2024_05_10,11,16.91,22.36,"[17.53, 17.82, 18.11, 18.39, 18.68, 18.96, 19.24, 19.52, 19.81, 20.09, 20.38, 20.66]",0.2321,None
002042.SZ,2022_08_05,2023_08_15,0,2022_10_28,2023_09_15,14,3.01,3.5,"[3.05, 3.07, 3.09, 3.11, 3.12, 3.14, 3.16, 3.18, 3.2, 3.22, 3.24, 3.25, 3.27, 3.29, 3.31]",0.4558,None
002352.SZ,2022_08_05,2023_08_15,0,2022_03_28,2023_09_01,10,42.46,60.79,"[45.07, 46.37, 47.66, 48.96, 50.25, 51.55, 52.85, 54.14, 55.44, 56.73, 58.02]",0.1933,None
002475.SZ,2022_08_05,2023_08_15,1,2022_12_21,2024_05_10,11,25.04,34.82,"[26.62, 27.24, 27.86, 28.48, 29.1, 29.72, 30.34, 30.96, 31.58, 32.2, 32.82, 33.43]",0.2454,None
002743.SZ,2022_08_05,2023_08_15,0,2022_09_01,2024_05_10,41,5.07,6.99,"[5.32, 5.34, 5.36, 5.38, 5.4, 5.42, 5.44, 5.46, 5.48, 5.5, 5.52, 5.54, 5.56, 5.58, 5.6, 5.62, 5.64, 5.66, 5.68, 5.7, 5.72, 5.74, 5.76, 5.78, 5.8, 5.82, 5.84, 5.86, 5.88, 5.9, 5.92, 5.94, 5.96, 5.98, 6.0, 6.02, 6.04, 6.06, 6.08, 6.1, 6.12, 6.13]",0.1696,"{5.32: 7300, 5.34: 7200, 5.36: 7100, 5.38: 7000, 5.4: 6900, 5.42: 6700, 5.44: 6500, 5.46: 6300, 5.48: 6100, 5.5: 5900, 5.52: 5700, 5.54: 5500, 5.56: 5300, 5.58: 5100, 5.6: 4900, 5.62: 4700, 5.64: 4500, 5.66: 4300, 5.68: 4100, 5.7: 3900, 5.72: 3700, 5.74: 3500, 5.76: 3300, 5.78: 3100, 5.8: 2900, 5.82: 2700, 5.84: 2500, 5.86: 2300, 5.88: 2100, 5.9: 1900, 5.92: 1700, 5.94: 1500, 5.96: 1300, 5.98: 1100, 6.0: 900, 6.02: 700, 6.04: 500, 6.06: 400, 6.08: 300, 6.1: 200, 6.12: 100, 6.13: 0}"
002807.SZ,2022_08_05,2023_08_15,0,2021_08_06,2023_05_19,42,3.35,4.75,"[3.76, 3.78, 3.8, 3.82, 3.84, 3.86, 3.88, 3.9, 3.92, 3.94, 3.96, 3.98, 4.0, 4.02, 4.04, 4.06, 4.08, 4.1, 4.12, 4.14, 4.16, 4.18, 4.2, 4.22, 4.24, 4.26, 4.28, 4.3, 4.32, 4.34, 4.36, 4.38, 4.4, 4.42, 4.44, 4.46, 4.48, 4.5, 4.52, 4.54, 4.56, 4.58, 4.59]",0.2806,None
