ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20241031,5901.2904,5839.9766,5935.1827,5812.0324,5837.9338,63.3566,1.0853,313549202.0,377454102.585
000905.SH,20241030,5837.9338,5793.8326,5869.1113,5777.43,5812.5286,25.4052,0.4371,252021275.0,315956554.496
000905.SH,20241029,5812.5286,5903.3065,5917.2149,5807.29,5883.7203,-71.1917,-1.21,275371143.0,332481504.887
000905.SH,20241028,5883.7203,5816.3296,5883.7203,5787.4843,5809.6879,74.0324,1.2743,270653787.0,312663682.664
000905.SH,20241025,5809.6879,5735.2853,5855.2647,5729.4384,5726.7041,82.9838,1.4491,236725708.0,299590180.533
000905.SH,20241024,5726.7041,5747.5577,5759.8651,5694.7789,5776.383,-49.6789,-0.86,207690046.0,257232250.89
000905.SH,20241023,5776.383,5745.1069,5853.4555,5727.7736,5753.8497,22.5333,0.3916,273412640.0,336167749.458
000905.SH,20241022,5753.8497,5703.3196,5779.2983,5673.7901,5704.225,49.6247,0.87,237023624.0,312584329.12
000905.SH,20241021,5704.225,5680.5648,5797.8808,5631.2316,5640.0198,64.2052,1.1384,266885186.0,359965731.44
000905.SH,20241018,5640.0198,5416.0319,5774.1408,5404.2035,5418.9883,221.0315,4.0788,287114219.0,352062136.787
000905.SH,20241017,5418.9883,5499.7659,5541.0331,5417.881,5461.0877,-42.0994,-0.7709,202768685.0,234458932.483
000905.SH,20241016,5461.0877,5393.6657,5546.1764,5393.6657,5472.56,-11.4723,-0.2096,205450926.0,222425749.319
000905.SH,20241015,5472.56,5578.2611,5661.0749,5471.8807,5608.153,-135.593,-2.4178,238997019.0,276816614.631
000905.SH,20241014,5608.153,5503.6461,5623.9685,5408.3917,5470.8133,137.3397,2.5104,250608541.0,279231292.489
000905.SH,20241011,5470.8133,5650.0488,5652.852,5408.8696,5690.8822,-220.0689,-3.867,244383373.0,266749263.112
000905.SH,20241010,5690.8822,5768.6107,5875.9358,5597.4766,5735.641,-44.7588,-0.7804,353480245.0,390814224.053
000905.SH,20241009,5735.641,6013.7015,6088.0804,5704.4779,6155.5817,-419.9407,-6.8221,431156416.0,529447530.364
000905.SH,20241008,6155.5817,6417.8142,6417.8142,5868.8525,5743.217,412.3647,7.18,493546420.0,579263323.622
000905.SH,20240930,5743.217,5449.7889,5757.9213,5387.338,5201.6656,541.5514,10.4111,388703200.0,418784669.569
000905.SH,20240927,5201.6656,5027.2644,5227.9577,5021.5148,4938.1839,263.4817,5.3356,230177508.0,232646658.013
000905.SH,20240926,4938.1839,4725.996,4938.1839,4719.3492,4731.4755,206.7084,4.3688,229930323.0,196122560.309
